iter	Passed	Remaining
0	32	16440
1	63	15821
2	70	11612
3	85	10557
4	99	9891
5	113	9343
6	145	10235
7	159	9782
8	186	10168
9	207	10146
10	225	10035
11	244	9959
12	261	9789
13	289	10034
14	310	10052
15	329	9953
16	343	9755
17	361	9684
18	376	9529
19	392	9414
20	407	9298
21	423	9197
22	435	9037
23	444	8808
24	450	8562
25	470	8585
26	487	8537
27	505	8516
28	520	8458
29	536	8410
30	551	8344
31	577	8444
32	585	8287
33	591	8112
34	616	8189
35	634	8177
36	649	8131
37	666	8104
38	683	8078
39	703	8090
40	719	8056
41	741	8091
42	761	8093
43	776	8042
44	783	7921
45	787	7774
46	806	7775
47	822	7746
48	838	7721
49	847	7629
50	863	7598
51	872	7519
52	890	7510
53	912	7534
54	928	7514
55	943	7483
56	955	7426
57	980	7469
58	987	7378
59	1019	7476
60	1029	7411
61	1052	7437
62	1064	7381
63	1087	7407
64	1114	7460
65	1136	7476
66	1152	7448
67	1178	7489
68	1194	7462
69	1207	7417
70	1223	7394
71	1228	7301
72	1267	7416
73	1286	7404
74	1302	7378
75	1322	7377
76	1340	7366
77	1356	7338
78	1377	7338
79	1401	7355
80	1424	7369
81	1443	7359
82	1460	7339
83	1476	7313
84	1483	7241
85	1504	7242
86	1522	7228
87	1548	7249
88	1567	7237
89	1583	7213
90	1614	7255
91	1630	7230
92	1648	7212
93	1674	7232
94	1692	7214
95	1713	7210
96	1733	7203
97	1760	7219
98	1784	7228
99	1806	7224
100	1823	7203
101	1844	7196
102	1866	7195
103	1893	7208
104	1916	7208
105	1934	7191
106	1960	7199
107	1988	7219
108	2011	7216
109	2033	7209
110	2060	7219
111	2082	7214
112	2104	7206
113	2120	7181
114	2138	7159
115	2154	7131
116	2170	7106
117	2187	7081
118	2202	7052
119	2218	7026
120	2238	7011
121	2257	6995
122	2273	6968
123	2293	6954
124	2310	6932
125	2330	6918
126	2354	6914
127	2374	6901
128	2390	6875
129	2417	6880
130	2441	6876
131	2456	6849
132	2471	6819
133	2494	6813
134	2526	6831
135	2542	6804
136	2559	6782
137	2587	6787
138	2603	6762
139	2624	6748
140	2647	6740
141	2664	6718
142	2680	6691
143	2697	6668
144	2721	6662
145	2736	6634
146	2752	6609
147	2768	6584
148	2787	6565
149	2837	6619
150	2862	6616
151	2886	6607
152	2919	6621
153	2946	6619
154	2973	6618
155	2995	6605
156	3013	6584
157	3038	6575
158	3054	6551
159	3077	6539
160	3096	6520
161	3113	6497
162	3136	6483
163	3154	6462
164	3171	6438
165	3187	6413
166	3203	6387
167	3228	6380
168	3246	6358
169	3262	6333
170	3287	6324
171	3302	6298
172	3319	6274
173	3339	6257
174	3356	6234
175	3387	6236
176	3403	6210
177	3419	6185
178	3435	6160
179	3451	6135
180	3466	6109
181	3482	6084
182	3498	6060
183	3516	6038
184	3543	6032
185	3558	6007
186	3592	6012
187	3612	5995
188	3628	5971
189	3644	5946
190	3669	5936
191	3688	5916
192	3708	5899
193	3732	5888
194	3760	5882
195	3780	5863
196	3801	5847
197	3831	5843
198	3850	5824
199	3877	5816
200	3903	5806
201	3931	5800
202	3958	5791
203	3981	5777
204	4003	5761
205	4029	5750
206	4055	5740
207	4082	5731
208	4106	5717
209	4129	5702
210	4146	5679
211	4162	5654
212	4181	5633
213	4208	5624
214	4226	5603
215	4243	5579
216	4259	5555
217	4275	5530
218	4292	5508
219	4308	5483
220	4330	5467
221	4350	5447
222	4374	5433
223	4390	5409
224	4406	5385
225	4422	5361
226	4442	5342
227	4458	5319
228	4476	5296
229	4500	5283
230	4520	5264
231	4546	5252
232	4567	5234
233	4595	5224
234	4626	5217
235	4644	5195
236	4673	5186
237	4701	5175
238	4729	5165
239	4755	5152
240	4778	5134
241	4795	5112
242	4812	5089
243	4829	5066
244	4844	5042
245	4861	5019
246	4886	5005
247	4905	4984
248	4921	4961
249	4937	4937
250	4961	4922
251	4982	4902
252	5001	4882
253	5017	4859
254	5033	4835
255	5049	4812
256	5065	4790
257	5089	4773
258	5108	4753
259	5129	4734
260	5149	4715
261	5175	4701
262	5191	4678
263	5206	4654
264	5226	4634
265	5252	4620
266	5272	4601
267	5289	4578
268	5307	4558
269	5324	4535
270	5340	4512
271	5366	4498
272	5381	4474
273	5398	4453
274	5413	4429
275	5430	4407
276	5455	4391
277	5474	4371
278	5495	4353
279	5512	4330
280	5544	4321
281	5566	4303
282	5584	4281
283	5605	4263
284	5625	4243
285	5641	4221
286	5667	4206
287	5689	4188
288	5706	4166
289	5723	4144
290	5751	4130
291	5775	4113
292	5815	4108
293	5838	4091
294	5857	4070
295	5885	4055
296	5910	4039
297	5932	4021
298	5956	4004
299	5976	3984
300	6002	3968
301	6019	3946
302	6046	3931
303	6066	3911
304	6084	3890
305	6108	3872
306	6127	3852
307	6150	3834
308	6175	3817
309	6197	3798
310	6213	3775
311	6229	3753
312	6251	3735
313	6268	3712
314	6289	3694
315	6310	3674
316	6327	3652
317	6346	3632
318	6369	3614
319	6389	3593
320	6421	3581
321	6450	3566
322	6479	3550
323	6502	3531
324	6539	3521
325	6556	3499
326	6573	3477
327	6589	3455
328	6605	3433
329	6620	3410
330	6638	3389
331	6655	3368
332	6681	3350
333	6700	3330
334	6716	3308
335	6732	3285
336	6747	3263
337	6763	3241
338	6780	3220
339	6796	3198
340	6813	3176
341	6830	3155
342	6847	3134
343	6862	3112
344	6884	3093
345	6901	3071
346	6916	3049
347	6948	3034
348	6964	3013
349	6988	2994
350	7006	2974
351	7028	2955
352	7049	2935
353	7070	2916
354	7088	2895
355	7104	2873
356	7121	2852
357	7136	2830
358	7154	2809
359	7171	2788
360	7202	2773
361	7226	2755
362	7246	2734
363	7269	2716
364	7291	2696
365	7310	2676
366	7333	2657
367	7349	2636
368	7366	2615
369	7382	2594
370	7400	2573
371	7422	2554
372	7443	2534
373	7461	2513
374	7480	2493
375	7509	2476
376	7525	2455
377	7549	2436
378	7567	2415
379	7593	2398
380	7610	2376
381	7626	2355
382	7653	2337
383	7668	2316
384	7688	2296
385	7711	2277
386	7742	2260
387	7760	2240
388	7777	2219
389	7810	2202
390	7835	2184
391	7860	2165
392	7881	2145
393	7909	2127
394	7936	2109
395	7953	2088
396	7979	2070
397	8020	2055
398	8048	2037
399	8080	2020
400	8102	2000
401	8132	1982
402	8152	1962
403	8187	1945
404	8224	1929
405	8247	1909
406	8279	1891
407	8314	1874
408	8334	1854
409	8356	1834
410	8396	1818
411	8424	1799
412	8451	1780
413	8470	1759
414	8490	1738
415	8508	1718
416	8524	1696
417	8540	1675
418	8557	1654
419	8573	1632
420	8591	1612
421	8616	1592
422	8634	1571
423	8650	1550
424	8672	1530
425	8689	1509
426	8705	1488
427	8727	1468
428	8744	1447
429	8762	1426
430	8778	1405
431	8794	1384
432	8812	1363
433	8828	1342
434	8845	1321
435	8862	1300
436	8878	1279
437	8895	1259
438	8911	1238
439	8932	1218
440	8951	1197
441	8972	1177
442	8990	1156
443	9011	1136
444	9028	1115
445	9045	1095
446	9071	1075
447	9090	1055
448	9110	1034
449	9130	1014
450	9147	993
451	9170	973
452	9190	953
453	9206	932
454	9232	913
455	9248	892
456	9265	871
457	9281	851
458	9297	830
459	9317	810
460	9340	790
461	9361	769
462	9377	749
463	9404	729
464	9421	709
465	9437	688
466	9465	668
467	9481	648
468	9496	627
469	9511	607
470	9529	586
471	9544	566
472	9560	545
473	9576	525
474	9615	506
475	9632	485
476	9658	465
477	9677	445
478	9707	425
479	9724	405
480	9747	385
481	9766	364
482	9783	344
483	9805	324
484	9822	303
485	9843	283
486	9879	263
487	9907	243
488	9931	223
489	9948	203
490	9987	183
491	10034	163
492	10062	142
493	10089	122
494	10118	102
495	10142	81
496	10161	61
497	10186	40
498	10206	20
499	10233	0
